region1/rowsums/cumul: fhbbhfdfcebb
region1/rowsums/direct: fchbffbiccbhbc
region1/rowsums/zeroout_cumul: dbbibbhccbegbiabebeiheggegeebbgehebhhbabfhbefcdbbfccgbfbeeggcbedcifbffgigeeeabe
region1/rowsums/chunkfirst: dbaeehbhfgcfe
region1/colsums/cumul: hbgebeccebfe
region1/colsums/direct: hchchbbfbbcffh
region1/colsums/zeroout_cumul: dbbibfbccbegbihaebeihbegegebebbghhebhhfabfdhbffdbbfccgbfbeggecedcibfbfgigbeeabe
region1/colsums/chunkfirst: dceghafdcgege
region1/rowsums_rev/cumul: chbbbhfffebb
region1/rowsums_rev/direct: cbhbccibffbhcf
region1/rowsums_rev/zeroout_cumul: dbbibfbhcbegbiabebeiheggegeebbgehhehhfbabfdbefcdbbcccgbbeeggcbedcifbffgigeeeabe
region1/rowsums_rev/chunkfirst: dcaeehbccbcfe
region1/colsums_rev/cumul: hbbgbhfbbbci
region1/colsums_rev/direct: hffcbbfbbhchch
region1/colsums_rev/zeroout_cumul: dbbibfbccbegihabeeihbeggeebebgehhebhfbabdheffcdbfcccgbfeeggecbedibfbffggbeeeabe
region1/colsums_rev/chunkfirst: dcieeghdefeig
clean/rowsums/cumul: fhbbhfdfcebbff
clean/rowsums/direct: fchbffbiccbhbc
clean/rowsums/zeroout_cumul: dbbibbhccbegbiabebeiheggegeebbgehebhhbabfhbefcdbbfccgbfbeeggcbedcifbffgigeeeabeaedggeedcbdabhhggcadcfeddgfdgbgigaaedggiafaecghggcdaihehahbahigceifgbfgefgaifabifagaegeacgbbeagfggeeggafbacgfcdbeiffaafcidahgdeefghhcggaegdebhhegeghcegadfbdiagefcicggifdcgaaggfbigaicfbhecaecbceiaicebgbgiecdeggfgegaedggfiiciiififhggcgfgdcdggefcbeeigefibgibggghhfbcgifdehedfdagicdbhicgaiedaehahghhcihdghfhbiicecbiichihiiigiddgehhdfdchcbafgfbhaheagegecafehgcfggggcagfhhghbaihidiehhfdeggdgcihggggghadahigigbgecgedfcdggaccdehiicigfbffhggaeidbbeibbeiifdgfdhieeeieeecifdgdahdiggfhegfiaffiggbcbcehceabfbedbiibfbfdedeehgigfaaiggagbeiichiedifbehgbccahhbiibibbibdcbahaidhfahiihiczagdafaoaheiecggchgicbbhcgbehcfcoabicfdhhcdbbcagbdaiobbgbeadeddezcfobfdhgdobdgooiigdocdaoofidhz
clean/rowsums/chunkfirst: dbaeehbhfgcfea
clean/colsums/cumul: hbgebeccebfeaf
clean/colsums/direct: hchchbbfbbcffh
clean/colsums/zeroout_cumul: dbbibfbccbegbihaebeihbegegebebbghhebhhfabfdhbffdbbfccgbfbeggecedcibfbfgigbeeabefedggeedcbdabhhggcadcfeddgfdgbgigaaedggiafaecghggcdaihehahbahigceifgbfgefgaifabifagaegeacgbbeagfggeeggafbacgfcdbeiffaafcidahgdeefghhcggaegdebhhegeghcegadfbdiagefcicggifdcgaaggfbigaicfbhecaecbceiaicebgbgiecdeggfgegaedggfiiciiififhggcgfgdcdggefcbeeigefibgibggghhfbcgifdehedfdagicdbhicgaiedaehahghhcihdghfhbiicecbiichihiiigiddgehhdfdchcbafgfbhaheagegecafehgcfggggcagfhhghbaihidiehhfdeggdgcihggggghadahigigbgecgedfcdggaccdehiicigfbffhggaeidbbeibbeiifdgfdhieeeieeecifdgdahdiggfhegfiaffiggbcbcehceabfbedbiibfbfdedeehgigfaaiggagbeiichiedifbehgbccahhbiibibbibdcbahaidhfahiihiczagdafaoaheiecggchgicbbhcgbehcfcoabicfdhhcdbbcagbdaiobbgbeadeddezcfobfdhgdobdgooiigdocdaoofidhz
clean/colsums/chunkfirst: dceghafdcgegee
clean/rowsums_rev/cumul: chbbbhfffebbdf
clean/rowsums_rev/direct: cbhbccibffbhcf
